,Codigo,Memoria Ram,Fecha,Precio,Almacenamiento,Nombre,Modelo,Procesador
61,857123001,4 Gb,2021-09-30,429990,128 Gb,Notebook Dell 15-3505 Reacondicionado,Dell 15-3505 Reacondicionado,Amd Athlon
62,857110001,8 Gb,2021-09-30,1249990,256 Gb,Notebook Dell G5 5505,Dell G5 5505,Amd Ryzen 7
63,844509001,8 Gb,2021-09-30,1049990,256 Gb,Macbook Air,Air,Apple M1
64,867618001,8 Gb,2021-09-30,909990,256 Gb,Notebook Msi Modern 14 B10mw-258cl,Msi Modern 14 B10mw-258cl,Intel Core I5
65,861804001,8 Gb,2021-09-30,829990,256 Gb,Notebook Gamer Hp Pavilion 15-dk1028la,Gamer Hp Pavilion 15-dk1028la,Intel Core I5
66,857109001,8 Gb,2021-09-30,1249990,256 Gb,Notebook Dell G5 15 5500,Dell G5 15 5500,Intel Core I7
67,851769001,8 Gb,2021-09-30,799990,256 Gb,Notebook Asus Vivobook 14 X413ea-eb669t,Asus Vivobook 14 X413ea-eb669t,Intel Core I5
68,857122001,12 Gb,2021-09-30,739990,512 Gb,Notebook Dell 15-3505 Reacondicionado,Dell 15-3505 Reacondicionado,Amd Ryzen 7
69,857358001,16 Gb,2021-09-30,899990,512 Gb,Notebook Gamer Acer Nitro 5 An515-55-56p2-2,Gamer Acer Nitro 5 An515-55-56p2-2,Intel Core I5
70,42710,4 GB (1x4GB) DDR4 2666Mhz (Máx. 32GB de Memoria RAM) X Slot,2021-09-30,199990,32GB eMMC,HP Chromebook,Chromebook,"AMD® A4-9120, 1,6GHz hasta 2,4GHz (1M Caché L2)"
71,38020,"4GB SDRAM DDR4-2400Mhz (1x4GB)
(Máx. 8GB de Memoria RAM) 1 Slot",2021-09-30,279990,"SATA de 500 GB, 5400 rpm",HP 240 G7,240 G7,"Intel® Celeron® N4020, 1,1 GHz hasta 2,8 GHz (4MB caché)"
72,42189,4GB DDR4 2400MHz SO-DIMM (Máx. 8GB de Memoria RAM) X 1Slot,2021-09-30,289990,"500GB SATA 5400RPM 2.5"" HDD",Asus X515MA-BR576T,X515MA-BR576T,"Intel® Celeron® N4020, 1.1GHz hasta 2.8GHz (4MB Caché)"
73,42840,4GB LPDDR4-2133Mhz (soldada)(Máx. 4GB de Memoria RAM) 1 Slot,2021-09-30,299990,64GB EMMC 5.1 ,Lenovo Ideapad D330,Ideapad D330,"Intel® Celeron N4020, hasta 2,8GHz (4MB Caché)"
74,41517,4GB DDR4 SO-DIMM (Máx. 8GB de Memoria RAM) 1X Slot,2021-09-30,319990,"500GB SATA 5400RPM 2.5"" HDD",Asus X515MA-BR288T,X515MA-BR288T,"Intel® Celeron® N4020, 1.1GHz hasta 2.8GHz (4MB Caché)"
75,40485,4GB DDR4 2133 MHz  (on board)(Máx. 12GB de Memoria RAM) 1 Slot,2021-09-30,349990,"1TB SATA 5400RPM 2.5"" HDD",Asus X543UA-DM3470T,X543UA-DM3470T,"Intel® Core™ i3-7100U, 2.4GHz (3M Caché)"
76,40958,"4GB, DDR4, 2666MHz (Máx. 16GB de Memoria RAM) 2 Slot",2021-09-30,369990,"1TB 5.4K HDD 2.5""",Dell Vostro 3400,Vostro 3400,"Intel® Core™ i3-1115G4, hasta 4.1GHz (6MB Caché)"
77,41940,4GB RAM DDR4-2666MHz (1x4GB)(Máx. 16GB de Memoria RAM) 2 Slot,2021-09-30,369990,1TB Disco duro SATA de 5400 RPM,HP 250 G8,250 G8,"Intel® Core™ 3-1005G1, 1,2GHz hasta 3,4GHz (4M Caché L3)"
78,42392,4GB DDR4 2666Mhz (Máx. 16 GB de Memoria RAM) 2 Slot,2021-09-30,379990,HDD 1 TB 5400RPM,HP HP 348 G7,HP 348 G7,"Intel® Core™ i3-10110U, 2,10GHz hasta 4,10GHz (4MB Caché)"
79,38857,4 GB de SDRAM DDR4-2666 (1x4GB) (Máx. 16GB de Memoria RAM) 2 Slot,2021-09-30,409990,SATA de 1 TB y 5400 rpm,HP 240 G7,240 G7,"Intel® Core™ i3-1005G1, 1,2GHz hasta 3,4GHz (4MB caché)"
80,40077,4GB DDR4 on board (Máx memoria RAM 4GB),2021-09-30,409990,256GB SSD / M.2 NVMe™ PCIe® 3.0,Asus X412FA-EB1257T,X412FA-EB1257T,"Intel® Pentium® Gold 5405U, frecuencia básica 2.3 GHz (2M Cache, hasta 2.3 GHz)"
81,43015,"4GB RAM DDR4-3200MHz (1x 4GB) + 16GB Intel® Optane™ 
(Máx. 4GB de Memoria RAM) 1 Slot (Ranura no accesible para el usuario)",2021-09-30,439990,Unidad de estado sólido Intel® PCIe® NVMe™ M.2 de 256 GB,HP 14-dq2026la,14-dq2026la,"Intel® Core™ i3-1115G4, hasta 4,1GHz (6MB caché L3)"
82,41849,8GB de RAM DDR4-2666MHz (1x8GB) (Máx. 8GB de Memoria RAM) 1 Slot,2021-09-30,449990,Unidad de estado sólido M.2 PCIe® NVMe™ de 512 GB,HP 15-dy2064la,15-dy2064la,"Intel® Core™ i3-1125G4, hasta 3,7GHz (8MB Caché L3)"
83,42691,4 GB DDR4-3200MHz (1x4GB) (Máx.16 GB de Memoria RAM) X Slot,2021-09-30,449990,SSD PCIe® NVMe™ M.2 de 256GB,HP Pavilion x360,Pavilion x360,"Intel® Pentium Gold 7505, hasta 3,5GHz (4MB Caché L3)"
